 Date[YYYY.MM.DD],Time[HH:MM:SS.ms],Log  Number,FP101,FP102,FP103,FV201,FV202,FV203,FV204,EM201,EM202,Temp1,Temp2,pH 
2016.12.18,03:02:05.708,1,0,0,0,0,0,0,0,0,0,17.025000,16.591000,7.999589
2016.12.18,03:02:06.202,2,1,1,1,0,0,0,0,0,0,17.160000,16.688000,8.015693
2016.12.18,03:02:06.706,3,1,1,1,0,0,0,0,0,0,17.104000,16.589000,7.995339
2016.12.18,03:02:07.202,4,1,1,1,0,0,0,0,0,0,17.136000,16.705000,8.208284
2016.12.18,03:02:07.702,5,1,1,1,0,0,0,0,0,0,17.161000,16.702000,7.353925
2016.12.18,03:02:08.202,6,1,1,1,0,0,0,0,0,0,17.183000,16.711000,7.520065
2016.12.18,03:02:08.704,7,1,1,1,0,0,0,0,0,0,17.153000,16.729000,7.535690
2016.12.18,03:02:09.204,8,1,1,1,0,0,0,0,0,0,17.164000,16.706000,7.919035
2016.12.18,03:02:09.701,9,1,1,1,0,0,0,0,0,0,17.141000,16.741000,7.282094
2016.12.18,03:02:10.202,10,1,1,1,0,0,0,0,0,0,17.187000,16.694000,8.497985
2016.12.18,03:02:10.704,11,1,1,1,0,0,0,0,0,0,17.166000,16.705000,8.661271
2016.12.18,03:02:11.203,12,1,1,1,1,0,1,0,1,0,17.054000,16.614000,8.010105
2016.12.18,03:02:11.704,13,1,1,1,1,0,1,0,1,0,17.091000,16.614000,7.015572
2016.12.18,03:02:12.204,14,1,1,1,1,0,1,0,1,0,17.115000,16.621000,7.887179
2016.12.18,03:02:12.705,15,1,1,1,1,0,1,0,1,0,17.122000,16.638000,8.713906
2016.12.18,03:02:13.204,16,1,1,1,1,0,1,0,1,0,17.137000,16.660000,8.405139
2016.12.18,03:02:13.705,17,1,1,1,1,0,1,0,1,0,17.073000,16.666000,8.985159
2016.12.18,03:02:14.206,18,1,1,1,1,0,1,0,1,0,17.106000,16.653000,8.401618
2016.12.18,03:02:14.704,19,1,1,1,1,0,1,0,1,0,17.200000,16.764000,8.553004
2016.12.18,03:02:15.205,20,1,1,1,0,1,0,1,0,1,17.156000,16.766000,8.446249
2016.12.18,03:02:15.706,21,1,1,1,0,1,0,1,0,1,17.192000,16.791000,8.811408
2016.12.18,03:02:16.206,22,1,1,1,0,1,0,1,0,1,17.233000,16.814000,8.286799
2016.12.18,03:02:16.707,23,1,1,1,0,1,0,1,0,1,17.171000,16.801000,8.125398
2016.12.18,03:02:17.207,24,1,1,1,0,1,0,1,0,1,17.145000,16.793000,8.955703
2016.12.18,03:02:17.708,25,1,1,1,0,1,0,1,0,1,17.178000,16.832000,7.074286
2016.12.18,03:02:18.208,26,1,1,1,0,1,0,1,0,1,17.194000,16.858000,7.586155
2016.12.18,03:02:18.708,27,1,1,1,0,1,0,1,0,1,17.073000,16.762000,7.286794
2016.12.18,03:02:19.208,28,1,1,1,1,0,1,0,1,0,17.055000,16.738000,8.426589
2016.12.18,03:02:19.708,29,1,1,1,1,0,1,0,1,0,17.080000,16.762000,7.926367
2016.12.18,03:02:20.207,30,1,1,1,1,0,1,0,1,0,17.066000,16.756000,8.024089
2016.12.18,03:02:20.708,31,1,1,1,1,0,1,0,1,0,17.029000,16.779000,7.192358
2016.12.18,03:02:21.209,32,1,1,1,1,0,1,0,1,0,17.096000,16.777000,7.094949
2016.12.18,03:02:21.708,33,1,1,1,1,0,1,0,1,0,17.066000,16.748000,7.754219
2016.12.18,03:02:22.210,34,1,1,1,1,0,1,0,1,0,17.098000,16.780000,8.151628
2016.12.18,03:02:22.709,35,1,1,1,1,0,1,0,1,0,17.142000,16.776000,7.120458
2016.12.18,03:02:23.209,36,1,1,1,0,1,0,1,0,1,17.129000,16.850000,8.020139
2016.12.18,03:02:23.710,37,1,1,1,0,1,0,1,0,1,17.178000,16.839000,7.190257
2016.12.18,03:02:24.210,38,1,1,1,0,1,0,1,0,1,17.171000,16.873000,7.232069
2016.12.18,03:02:24.712,39,1,1,1,0,1,0,1,0,1,17.131000,16.842000,8.226202
2016.12.18,03:02:25.210,40,1,1,1,0,1,0,1,0,1,17.188000,16.862000,7.756975
2016.12.18,03:02:25.711,41,1,1,1,0,1,0,1,0,1,17.165000,16.891000,7.708483
2016.12.18,03:02:26.212,42,1,1,1,0,1,0,1,0,1,17.271000,16.935000,8.263256
2016.12.18,03:02:26.710,43,1,1,1,0,1,0,1,0,1,16.665000,16.348000,8.490215
2016.12.18,03:02:27.208,44,0,0,0,0,0,0,0,0,0,17.414000,17.087000,8.385538
2016.12.18,03:02:27.711,45,0,0,0,0,0,0,0,0,0,17.458000,17.125000,7.161656
2016.12.18,03:02:28.213,46,0,0,0,0,0,0,0,0,0,17.354000,17.037000,7.822249
2016.12.18,03:02:28.713,47,0,0,0,0,0,0,0,0,0,17.454000,17.021000,8.732459
2016.12.18,03:02:29.213,48,0,0,0,0,0,0,0,0,0,17.448000,17.094000,7.419750
2016.12.18,03:02:29.710,49,0,0,0,0,0,0,0,0,0,17.487000,17.085000,7.201385
2016.12.18,03:02:30.212,50,0,0,0,0,0,0,0,0,0,17.514000,17.124000,7.649193
2016.12.18,03:02:30.711,51,0,0,0,0,0,0,0,0,0,17.448000,17.129000,8.450395
2016.12.18,03:02:31.213,52,0,0,0,0,0,0,0,0,0,17.483000,17.181000,7.712123
2016.12.18,03:02:31.715,53,0,0,0,0,0,0,0,0,0,17.478000,17.169000,8.621039
